Provider CCN;Hospital Name;Fiscal Year Begin Date;Fiscal Year End Date;number_of_beds
10001;SOUTHEAST HEALTH MEDICAL CENTER;10/01/2020;9/30/2021;326
10005;MARSHALL MEDICAL CENTERS SOUTH;10/01/2020;9/30/2021;192
10006;NORTH ALABAMA MEDICAL CENTER;07/01/2021;6/30/2022;223
10007;MIZELL MEMORIAL HOSPITAL;10/01/2020;9/30/2021;59
10008;CRENSHAW COMMUNITY HOSPITAL;01/01/2021;12/31/2021;49
10011;ST. VINCENTS EAST;07/01/2021;6/30/2022;311
10012;DEKALB REGIONAL MEDICAL CENTER;04/01/2021;3/31/2022;115
10016;SHELBY BAPTIST MEDICAL CENTER;01/01/2021;12/31/2021;252
10018;CALLAHAN EYE FOUNDATION HOSP;10/01/2020;9/30/2021;6
10019;HELEN KELLER HOSPITAL;10/01/2020;9/30/2021;172
10021;DALE MEDICAL CENTER;10/01/2020;9/30/2021;89
10022;CHEROKEE MEDICAL CENTER;07/01/2021;12/31/2021;45
10023;BAPTIST MEDICAL CENTER SOUTH;07/01/2021;6/30/2022;389
10024;JACKSON HOSPITAL AND CLINIC  INC;01/01/2021;12/31/2021;278
10029;EAST ALABAMA MEDICAL CENTER;10/01/2020;9/30/2021;341
10033;UNIVERSITY OF ALABAMA HOSPITAL;10/01/2020;9/30/2021;1286
10034;COMMUNITY HOSPITAL INC.;10/01/2020;9/30/2021;47
10035;CULLMAN REGIONAL;07/01/2021;6/30/2022;137
10036;ANDALUSIA REGIONAL HOSPITAL;04/01/2021;3/31/2022;83
10038;STRINGFELLOW MEMORIAL HOSPITAL;10/01/2020;9/30/2021;125
10039;HUNTSVILLE HOSPITAL;07/01/2021;6/30/2022;939
10040;GADSDEN REGIONAL MEDICAL CENTER;10/01/2020;9/30/2021;271
10044;MARION REGIONAL MEDICAL CENTER;10/01/2020;9/30/2021;115
10045;FAYETTE MEDICAL CENTER;10/01/2020;9/30/2021;167
10046;RIVERVIEW REGIONAL MEDICAL CENTER;01/01/2021;12/31/2021;281
10049;MEDICAL CENTER ENTERPRISE;01/01/2021;12/31/2021;99
10051;GREENE COUNTY HOSPITAL;10/01/2020;9/30/2021;92
10052;LAKE MARTIN COMMUNITY HOSPITAL;01/01/2021;12/31/2021;46
10055;FLOWERS HOSPITAL;10/01/2020;9/30/2021;204
10056;ST VINCENTS BIRMINGHAM;07/01/2021;6/30/2022;401
